lokalbahn, lokalban
vorzüglicher, foətsyklixə
abzuurteilenden, aptsuuətaieləndən
allermindeste, aleəmindestə
tiefster, tiefstə
tignoso, tiknoso
buchstabirt, bukstabiət
illusion, ilusion
priscian, priskian
unterordnung, unteroətnuŋk
verflucht, feəfluxt
aufhalte, aufhaltə
geschwisterlich, ɡeʃvisteəlix
obst, obst
schimmernden, ʃimeəndən
steigbügeln, staikbyɡeln
symbolik, symbolik
prozessionen, protsesionən
unglücklichen, uŋklyklixən
dreieinhalbprozentiger, traiainhalbprotsəntiɡə
zieh, tsi
schnelles, ʃneles
leist, laist
schnellverwischtes, ʃnelfeəviʃtes
lichtfelder, lixtfeldə
fragwürdig, frakvyədik
hochheil, hoxhail
rettet, retet
quantität, kvantietet
maskeraden, maskeradən
gesprächig, ɡesprexik
viertausend, fiətauhsənt
zugenommen, tsuɡenomən
kunstsammlungen, kunstsamluŋən
rieselt, riselt
schaufenster, ʃauhfənstə
bleib, plaip
gestirnten, ɡestiəntən
mißfallens, misfaləns
beharrliche, behaərlixə
such, tsux
giftig, ɡiftik
humanistischen, humanistieʃən
geleise, ɡelaisə
unbändiger, unbendiçə
pay, pai
verlechzten, feəlextstən
erkennst, eəkənnst
daktyl, daktyl
flanken, flaŋkən
abendausgabe, abəndausɡabə
losgebundne, losɡebuntnə
bewunderung, bevunderuŋk
wundersamen, vundeəsamən
vorgesetzte, foəɡesetstə
hindernis, hindeənis
anything, anytiŋk
allerbestes, aleəbestes
herabzusinken, heraptsusiŋkən
akademische, akademiʃə
mitbürgern, mitbyəɡeən
zurückgezogenen, tsurykɡetsoɡenən
wesensarten, vesənsaətən
handgriffe, handkrifə
zulauf, tsulauf
grenzpfähle, krəntspfelə
hephästos, hefestos
gefiedert, ɡefideət
urscenen, uəskenən
payable, paiaplə
trichter, trixtə
geschäftswelt, ɡeʃeftsvelt
free, freə
feindseliges, faintseliɡes
landesherrlichen, landesheərlixən
tafel, tafel
säulenumgang, tsoyhlenumɡaŋk
hinaustrat, hinaustrat
ämtern, emteən
tonmalerei, tonmaleraie
acceptiert, akkeptieət
schmuck, ʃmuk
bergesgipfel, beəɡesɡipfel
wehmütige, vemytiɡə
entwallen, əntvalən
augenschmerz, auhɡənʃmeəts
allersichersten, aleəsixeəstən
ueberflusses, uebeəfluses
unruhen, unruhən
schmetterling, ʃmeteəliŋk
umfriedet, umfridet
schäbige, ʃebiçə
abgesteckte, apɡestektə
convulsionen, konfulsionən
grabstätten, krabstetən
deutlichsten, doytlikstən
vorsehens, foəsehəns
zurückkäme, tsurykkemə
beitrugen, baitruɡən
kirschenzeit, kiəʃəntsait
adressat, atresat
tinte, tintə
entfremden, əntfremdən
fettgewicht, fetɡevixt
fragenden, fraɡəndən
nebenräumen, nebənroyhmən
nöthig, nøtik
ähren, erən
theilnahme, tailnamə
rumoren, rumorən
empfänge, empfeŋə
nirgendwo, niəɡəntvo
minimum, minimum
frosch, froʃ
depotenziren, depotəntsirən
feinsinnig, fainsinik
zuckte, tsuktə
busch, buʃ
vormittagsstunde, foəmitaɡstundə
stimmklang, stimklaŋk
anmutig, anmutik
requisite, rekvisitə
wimmelscharen, vimelʃarən
herangegangen, heraŋeɡaŋən
guy, ɡuy
schlief, ʃlif
wohlwollenden, volvoləndən
oefters, oefteəs
versichere, feəsixərə
